rank	token	news_count	paper_count	total_count
87	demographics	95	7	102
88	code_division_multiple_access	85	15	100
89	human_error	75	24	99
90	tomography	38	61	99
91	access_control	84	14	98
92	work_in_process	31	67	98
93	teamwork	77	21	98
94	consumer_protection	86	11	97
95	empowerment	81	15	96
96	petroleum_industry	88	7	95
97	tourism	40	55	95
98	intellectual_property	77	18	95
99	word_processing	83	11	94
100	debugging	48	45	93
101	computer_aided_design	43	50	93
102	textile_industry	86	7	93
103	local_government	77	16	93
104	virtual_reality	44	48	92
105	public_health	23	68	91
106	painting	50	40	90
107	international_finance	84	6	90
108	digitization	51	39	90
109	data_entry	80	8	88
110	reverse_engineering	74	14	88
111	labor_relations	78	10	88
112	air_traffic_control	58	29	87
113	real_estate	65	19	84
114	space_shuttle	52	31	83
115	pharmacy	65	18	83
116	free_trade	69	11	80
117	land_use	44	36	80
118	photography	46	34	80
119	literacy	38	41	79
120	building_automation	70	7	77
121	random_access_memory	68	9	77
122	transportation_planning	59	17	76
123	sonar	14	62	76
124	energy_consumption	52	24	76
125	private_sector	47	28	75
126	tax_reform	69	6	75
127	clothing	45	30	75
128	third_party	62	13	75
129	energy_conservation	59	15	74
130	interactive_media	55	19	74
131	collateral	65	7	72
132	revenue	40	31	71
133	copper	31	40	71
134	cybernetics	32	39	71
135	biometrics	20	50	70
136	educational_technology	55	14	69
137	air_pollution	49	19	68
138	quality_of_service	38	30	68
139	continuing_education	47	20	67
140	data_integrity	51	16	67
141	public_sector	51	14	65
142	rheology	43	22	65
143	polyethylene	48	17	65
144	casting	49	15	64
145	medical_imaging	12	51	63
146	patient_satisfaction	51	12	63
147	enforcement	29	33	62
148	economies_of_scale	51	9	60
149	cd-rom	52	8	60
150	sanctions	42	18	60
151	liability	30	29	59
152	business_ethics	32	27	59
153	inventory_management	51	8	59
154	happiness	48	11	59
155	air_conditioning	31	27	58
156	response_time	36	22	58
157	workforce	36	21	57
158	irrigation	37	20	57
159	doppler_effect	19	38	57
160	fluid_dynamics	31	25	56
161	science_education	23	32	55
162	retina	25	30	55
163	electricity	22	33	55
164	welfare	13	42	55
165	law_enforcement	46	9	55
166	rapid_prototyping	27	27	54
167	welding	9	45	54
168	readability	27	26	53
169	insider_trading	46	6	52
170	credit_risk	42	10	52
171	middle_east	45	7	52
172	marketing_management	22	29	51
173	weather_forecasting	44	7	51
174	forest_management	33	18	51
175	data_analysis	43	6	49
176	poverty	20	29	49
177	gallium_arsenide	36	12	48
178	foreign_exchange	40	8	48
179	laparoscopy	43	5	48
180	space_exploration	17	29	46
181	computer_literacy	34	11	45
182	underwriting	37	8	45
183	public_finance	22	23	45
184	salinity	37	7	44
185	jargon	30	14	44
186	metadata	28	16	44
187	intensive_care	34	9	43
188	vocational_education	12	30	42
189	turnover	33	9	42
190	organizational_change	21	21	42
191	deposit_insurance	37	5	42
192	human_capital	27	14	41
193	pollution	19	22	41
194	globalization	23	18	41
195	nursing_care	27	14	41
196	jurisdiction	23	18	41
197	snow	17	23	40
198	taste	19	21	40
199	jazz	35	5	40
200	sanitation	34	6	40
201	deregulation	26	13	39
202	construction_industry	29	10	39
203	precipitation	14	25	39
204	titanium	26	13	39
205	video_production	33	5	38
206	affirmative_action	33	5	38
207	sales_management	25	11	36
208	enterprise_resource_planning	31	5	36
209	natural_gas	30	6	36
210	success_factors	29	6	35
211	paralysis	25	10	35
212	shipbuilding	17	18	35
213	social_security	27	7	34
214	visual_impairment	23	11	34
215	electronic_mail	28	5	33
216	information_literacy	28	5	33
217	blindness	23	10	33
218	ozone	24	9	33
219	consumerism	28	5	33
220	adult_education	20	11	31
221	scrap	22	6	28
222	relocation	13	15	28
223	postal_service	21	5	26
224	football	21	5	26
225	yarn	18	7	25
226	case_management	19	6	25
227	chemical_vapor_deposition	11	14	25
228	legal_research	19	6	25
229	geriatrics	14	10	24
230	migrant_workers	19	5	24
231	overtime	17	6	23
232	public_speaking	16	7	23
233	genetic_testing	17	5	22
234	graphic_arts	16	5	21
235	remote_control	11	10	21
236	telematics	12	5	17
237	national_security	5	6	11
