rank	token	news_count	paper_count	total_count
129	professional_development	23	37	60
130	quality_of_service	34	26	60
131	labor_relations	48	10	58
132	rapid_prototyping	36	20	56
133	petroleum	37	18	55
134	contamination	17	38	55
135	deregulation	41	13	54
136	cash_flow	39	15	54
137	decision_theory	16	38	54
138	private_sector	21	32	53
139	coal	19	34	53
140	treasure	46	7	53
141	apprenticeship	36	16	52
142	data_integrity	43	9	52
143	humidity	38	14	52
144	forest_management	42	9	51
145	paternalism	44	7	51
146	desktop_publishing	46	5	51
147	photography	7	44	51
148	inventory_management	44	6	50
149	energy_conservation	37	13	50
150	information_sharing	36	13	49
151	strategic_management	34	15	49
152	photonics	25	23	48
153	entrepreneurship	28	20	48
154	readability	28	20	48
155	football	42	6	48
156	drilling	25	22	47
157	liability	19	28	47
158	shrinkage	28	19	47
159	textile_industry	41	6	47
160	interoperability	30	16	46
161	preventive_maintenance	31	14	45
162	information_science	35	10	45
163	energy_consumption	22	23	45
164	adult_education	31	13	44
165	business_ethics	29	15	44
166	collective_bargaining	33	11	44
167	redevelopment	33	11	44
168	instructional_design	24	19	43
169	mass_media	27	15	42
170	foreign_exchange	33	9	42
171	currency	32	10	42
172	ethanol	30	12	42
173	organizational_change	29	12	41
174	jurisdiction	22	19	41
175	snow	18	23	41
176	intensive_care	25	15	40
177	videotex	34	5	39
178	graduate_students	16	23	39
179	piano	28	11	39
180	arbitrage	30	9	39
181	indoor_air_quality	31	6	37
182	debt	17	20	37
183	public_finance	12	25	37
184	educational_technology	28	8	36
185	natural_gas	27	8	35
186	management_development	27	8	35
187	braille	25	8	33
188	world_war_ii	14	19	33
189	food_products	27	5	32
190	remote_control	21	11	32
191	solar_energy	25	6	31
192	tax_reform	21	10	31
193	municipal_solid_waste	26	5	31
194	economic_analysis	11	19	30
195	screen_printing	18	12	30
196	law_enforcement	10	20	30
197	water_treatment	24	5	29
198	arbitration	14	15	29
199	public_good	18	9	27
200	sales_forecasting	20	7	27
201	public_interest	19	7	26
202	code_division_multiple_access	12	14	26
203	economic_statistics	14	8	22
204	drug_trafficking	15	7	22
205	industrial_production	12	10	22
206	middle_management	16	5	21
207	censorship	14	5	19
208	materialism	10	8	18
209	mining_industry	11	6	17
